record_id,plant_scientific_name,plant_common_name,plant_family,primary_alkaloid,primary_flavonoid,primary_terpenoid,primary_glycoside,alkaloid_pct,flavonoid_pct,terpenoid_pct,glycoside_pct,concentration_std,geographic_origin,latitude,longitude,altitude,collection_year,harvest_month,measurement_method,temperature,rainfall,soil_pH,soil_N,soil_P,soil_K,reference_pmid,reference_year
1,Curcuma longa,Turmeric,Zingiberaceae,Bisdemethoxycurcumin,Kaempferol,Zingiberene,Turmerin,3.0449,5.098,2.5002,1.2142,0.18,"Western Ghats, Karnataka",12.649,75.4585,1079.5,2011,10,HPLC-MS,26.3,2293.3,5.8,113.0,22.4,188.6,33578726,2010
2,Curcuma longa,Turmeric,Zingiberaceae,Demethoxycurcumin,Kaempferol,Zingiberene,Turmerin,3.8067,5.5569,2.8286,1.2272,0.327,"Western Ghats, Karnataka",12.5943,76.2678,1028.8,2007,5,HPLC,24.8,2796.2,5.32,116.5,22.0,237.0,33734253,2006
3,Curcuma longa,Turmeric,Zingiberaceae,Bisdemethoxycurcumin,Quercetin,beta-Sesquiphellandrene,Turmerin,4.1012,6.6061,2.8539,0.9958,0.416,"Western Ghats, Karnataka",11.8465,75.1868,984.5,2019,8,GC-MS,28.8,3292.6,6.3,123.2,33.2,209.2,33795720,2017
4,Curcuma longa,Turmeric,Zingiberaceae,Demethoxycurcumin,Quercetin,ar-Turmerone,Turmerin,3.7475,5.1538,1.9439,1.4257,0.194,"Western Ghats, Karnataka",12.09,75.7095,984.7,2013,12,GC-MS,20.2,1764.6,5.36,117.8,19.5,176.1,33708092,2012
5,Curcuma longa,Turmeric,Zingiberaceae,Demethoxycurcumin,Kaempferol,Zingiberene,Turmerin,3.0282,4.2779,2.024,1.4827,0.23,"Western Ghats, Karnataka",12.3155,75.5999,673.9,2011,1,HPLC,18.6,1385.2,4.9,117.4,26.8,229.6,33930229,2009
6,Curcuma longa,Turmeric,Zingiberaceae,Demethoxycurcumin,Kaempferol,ar-Turmerone,Turmerin,3.0506,4.2444,2.2682,1.3656,0.126,"Western Ghats, Karnataka",12.8475,75.4017,777.7,2005,1,HPLC-MS,18.4,996.4,5.59,123.1,25.0,195.3,33612523,2005
7,Curcuma longa,Turmeric,Zingiberaceae,Bisdemethoxycurcumin,Quercetin,beta-Sesquiphellandrene,Turmerin,3.9187,5.7678,1.5374,1.2935,0.353,"Western Ghats, Karnataka",12.2462,75.2533,1167.3,2009,1,HPLC-MS,20.5,1346.2,5.6,119.0,23.8,228.7,33662301,2009
8,Curcuma longa,Turmeric,Zingiberaceae,Curcumin,Quercetin,ar-Turmerone,Turmerin,3.2234,5.3555,2.4253,1.0979,0.47,"Western Ghats, Karnataka",12.5506,75.6761,1388.1,2020,1,GC-MS,19.0,1063.0,5.74,125.2,19.5,186.4,33795600,2019
9,Curcuma longa,Turmeric,Zingiberaceae,Demethoxycurcumin,Quercetin,Zingiberene,Turmerin,3.8953,5.2032,2.2977,1.4939,0.489,"Western Ghats, Karnataka",12.393,75.6668,1158.8,2021,2,UV-Vis Spectroscopy,20.5,1770.8,5.55,112.8,20.8,216.3,33794576,2019
10,Curcuma longa,Turmeric,Zingiberaceae,Demethoxycurcumin,Kaempferol,Zingiberene,Turmerin,4.295,4.86,3.8204,1.1736,0.257,"Western Ghats, Karnataka",12.8308,75.2044,731.2,2006,6,GC-MS,28.6,3092.3,5.1,119.7,31.7,185.3,33967197,2005
